地域コード,地域,人口
02423,青森県 大間町,4718
02424,青森県 東通村,5955
02425,青森県 風間浦村,1636
02426,青森県 佐井村,1788
02441,青森県 三戸町,9082
02442,青森県 五戸町,16042
02443,青森県 田子町,4968
02445,青森県 南部町,16809
02446,青森県 階上町,13496
02450,青森県 新郷村,2197
03201,岩手県 盛岡市,289731
03202,岩手県 宮古市,50369
03203,岩手県 大船渡市,34728
03205,岩手県 花巻市,93193
03206,岩手県 北上市,93045
03207,岩手県 久慈市,33043
03208,岩手県 遠野市,25366
03209,岩手県 一関市,111932
03210,岩手県 陸前高田市,18262
03211,岩手県 釜石市,32078
03213,岩手県 二戸市,25513
03214,岩手県 八幡平市,24023
03215,岩手県 奥州市,112937
03216,岩手県 滝沢市,55579
03301,岩手県 雫石町,15731
03302,岩手県 葛巻町,5634
03303,岩手県 岩手町,12285
03321,岩手県 紫波町,32147
03322,岩手県 矢巾町,28056
03366,岩手県 西和賀町,5134
03381,岩手県 金ケ崎町,15535
03402,岩手県 平泉町,7252
03441,岩手県 住田町,5045
03461,岩手県 大槌町,11004
03482,岩手県 山田町,14320
03483,岩手県 岩泉町,8726
03484,岩手県 田野畑村,3059
03485,岩手県 普代村,2487
03501,岩手県 軽米町,8421
03503,岩手県 野田村,3936
03506,岩手県 九戸村,5378
03507,岩手県 洋野町,15091
03524,岩手県 一戸町,11494
04100,宮城県 仙台市,1096704
04202,宮城県 石巻市,140151
04203,宮城県 塩竈市,52203
04205,宮城県 気仙沼市,61147
04206,宮城県 白石市,32758
04207,宮城県 名取市,78718
04208,宮城県 角田市,27976
04209,宮城県 多賀城市,62827
04211,宮城県 岩沼市,44068
04212,宮城県 登米市,76037
04213,宮城県 栗原市,64637
04214,宮城県 東松島市,39098
04215,宮城県 大崎市,127330
04216,宮城県 富谷市,51651
04301,宮城県 蔵王町,11418
04302,宮城県 七ヶ宿町,1262
04321,宮城県 大河原町,23571
04322,宮城県 村田町,10666
04323,宮城県 柴田町,38271
04324,宮城県 川崎町,8345
04341,宮城県 丸森町,12262
04361,宮城県 亘理町,33087
04362,宮城県 山元町,12046
04401,宮城県 松島町,13323
04404,宮城県 七ヶ浜町,18132
04406,宮城県 利府町,35182
04421,宮城県 大和町,28786
04422,宮城県 大郷町,7813
04424,宮城県 大衡村,5849
04444,宮城県 色麻町,6698
04445,宮城県 加美町,21943
04501,宮城県 涌谷町,15388
04505,宮城県 美里町,23994
04581,宮城県 女川町,6430
04606,宮城県 南三陸町,12225
05201,秋田県 秋田市,307672
05202,秋田県 能代市,49968
05203,秋田県 横手市,85555
05204,秋田県 大館市,69237
05206,秋田県 男鹿市,25154
05207,秋田県 湯沢市,42091
05209,秋田県 鹿角市,29088
05210,秋田県 由利本荘市,74707
05211,秋田県 潟上市,31720
05212,秋田県 大仙市,77657
05213,秋田県 北秋田市,30198
05214,秋田県 にかほ市,23435
05215,秋田県 仙北市,24610
05303,秋田県 小坂町,4780
05327,秋田県 上小阿仁村,2063
05346,秋田県 藤里町,2896
05348,秋田県 三種町,15254
05349,秋田県 八峰町,6577
05361,秋田県 五城目町,8538
05363,秋田県 八郎潟町,5583
05366,秋田県 井川町,4566
05368,秋田県 大潟村,3011
05434,秋田県 美郷町,18613
05463,秋田県 羽後町,13825
05464,秋田県 東成瀬村,2704
06201,山形県 山形市,247590
06202,山形県 米沢市,81252
06203,山形県 鶴岡市,122347
06204,山形県 酒田市,100273
06205,山形県 新庄市,34432
06206,山形県 寒河江市,40189
06207,山形県 上山市,29110
06208,山形県 村山市,22516
06209,山形県 長井市,26543
06210,山形県 天童市,62140
06211,山形県 東根市,47682
06212,山形県 尾花沢市,14971
06213,山形県 南陽市,30420
06301,山形県 山辺町,13725
06302,山形県 中山町,10746
06321,山形県 河北町,17641
06322,山形県 西川町,4956
06323,山形県 朝日町,6366
06324,山形県 大江町,7646
06341,山形県 大石田町,6577
06361,山形県 金山町,5071
06362,山形県 最上町,8080
06363,山形県 舟形町,5007
06364,山形県 真室川町,7203
06365,山形県 大蔵村,3028
06366,山形県 鮭川村,3902
06367,山形県 戸沢村,4199
06381,山形県 高畠町,22463
06382,山形県 川西町,14558
06401,山形県 小国町,7107
06402,山形県 白鷹町,12890
06403,山形県 飯豊町,6613
06426,山形県 三川町,7601
06428,山形県 庄内町,20151
06461,山形県 遊佐町,13032
07201,福島県 福島市,282693
07202,福島県 会津若松市,117376
07203,福島県 郡山市,327692
07204,福島県 いわき市,332931
07205,福島県 白河市,59491
07207,福島県 須賀川市,74992
07208,福島県 喜多方市,44760
07209,福島県 相馬市,34865
07210,福島県 二本松市,53557
07211,福島県 田村市,35169
07212,福島県 南相馬市,59005
07213,福島県 伊達市,58240
07214,福島県 本宮市,30236
07301,福島県 桑折町,11459
07303,福島県 国見町,8639
07308,福島県 川俣町,12170
07322,福島県 大玉村,8900
07342,福島県 鏡石町,12318
07344,福島県 天栄村,5194
07362,福島県 下郷町,5264
07364,福島県 檜枝岐村,504
07367,福島県 只見町,4044
07368,福島県 南会津町,14451
07402,福島県 北塩原村,2556
07405,福島県 西会津町,5770
07407,福島県 磐梯町,3322
07408,福島県 猪苗代町,13552
07421,福島県 会津坂下町,15068
07422,福島県 湯川村,3081
07423,福島県 柳津町,3081
07444,福島県 三島町,1452
07445,福島県 金山町,1862
07446,福島県 昭和村,1246
07447,福島県 会津美里町,19014
07461,福島県 西郷村,20808
07464,福島県 泉崎村,6213
07465,福島県 中島村,4885
