地域コード,地域,人口
20448,長野県 生坂村,1639
20450,長野県 山形村,8400
20451,長野県 朝日村,4279
20452,長野県 筑北村,4149
20481,長野県 池田町,9382
20482,長野県 松川村,9599
20485,長野県 白馬村,8575
20486,長野県 小谷村,2647
20521,長野県 坂城町,14004
20541,長野県 小布施町,10660
20543,長野県 高山村,6617
20561,長野県 山ノ内町,11352
20562,長野県 木島平村,4375
20563,長野県 野沢温泉村,3279
20583,長野県 信濃町,7739
20588,長野県 小川村,2215
20590,長野県 飯綱町,10296
20602,長野県 栄村,1660
21201,岐阜県 岐阜市,402557
21202,岐阜県 大垣市,158286
21203,岐阜県 高山市,84419
21204,岐阜県 多治見市,106732
21205,岐阜県 関市,85283
21206,岐阜県 中津川市,76570
21207,岐阜県 美濃市,19247
21208,岐阜県 瑞浪市,37150
21209,岐阜県 羽島市,65649
21210,岐阜県 恵那市,47774
21211,岐阜県 美濃加茂市,56689
21212,岐阜県 土岐市,55348
21213,岐阜県 各務原市,144521
21214,岐阜県 可児市,99968
21215,岐阜県 山県市,25280
21216,岐阜県 瑞穂市,56388
21217,岐阜県 飛騨市,22538
21218,岐阜県 本巣市,32928
21219,岐阜県 郡上市,38997
21220,岐阜県 下呂市,30428
21221,岐阜県 海津市,32735
21302,岐阜県 岐南町,25881
21303,岐阜県 笠松町,22208
21341,岐阜県 養老町,26882
21361,岐阜県 垂井町,26402
21362,岐阜県 関ケ原町,6610
21381,岐阜県 神戸町,18585
21382,岐阜県 輪之内町,9654
21383,岐阜県 安八町,14355
21401,岐阜県 揖斐川町,19529
21403,岐阜県 大野町,22041
21404,岐阜県 池田町,23360
21421,岐阜県 北方町,18139
21501,岐阜県 坂祝町,8071
21502,岐阜県 富加町,5626
21503,岐阜県 川辺町,9860
21504,岐阜県 七宗町,3402
21505,岐阜県 八百津町,10195
21506,岐阜県 白川町,7412
21507,岐阜県 東白川村,2016
21521,岐阜県 御嵩町,17516
21604,岐阜県 白川村,1511
22100,静岡県 静岡市,693389
22130,静岡県 浜松市,790718
22203,静岡県 沼津市,189386
22205,静岡県 熱海市,34208
22206,静岡県 三島市,107783
22207,静岡県 富士宮市,128105
22208,静岡県 伊東市,65491
22209,静岡県 島田市,95719
22210,静岡県 富士市,245392
22211,静岡県 磐田市,166672
22212,静岡県 焼津市,136845
22213,静岡県 掛川市,114954
22214,静岡県 藤枝市,141342
22215,静岡県 御殿場市,86614
22216,静岡県 袋井市,87864
22219,静岡県 下田市,20183
22220,静岡県 裾野市,50911
22221,静岡県 湖西市,57885
22222,静岡県 伊豆市,28190
22223,静岡県 御前崎市,31103
22224,静岡県 菊川市,47789
22225,静岡県 伊豆の国市,46804
22226,静岡県 牧之原市,43502
22301,静岡県 東伊豆町,11488
22302,静岡県 河津町,6870
22304,静岡県 南伊豆町,7877
22305,静岡県 松崎町,6038
22306,静岡県 西伊豆町,7090
22325,静岡県 函南町,36794
22341,静岡県 清水町,31710
22342,静岡県 長泉町,43336
22344,静岡県 小山町,18568
22424,静岡県 吉田町,28919
22429,静岡県 川根本町,6206
22461,静岡県 森町,17457
23100,愛知県 名古屋市,2332176
23201,愛知県 豊橋市,371920
23202,愛知県 岡崎市,384654
23203,愛知県 一宮市,380073
23204,愛知県 瀬戸市,127792
23205,愛知県 半田市,117884
23206,愛知県 春日井市,308681
23207,愛知県 豊川市,184661
23208,愛知県 津島市,60942
23209,愛知県 碧南市,72458
23210,愛知県 刈谷市,153834
23211,愛知県 豊田市,422330
23212,愛知県 安城市,187990
23213,愛知県 西尾市,169046
23214,愛知県 蒲郡市,79538
23215,愛知県 犬山市,73090
23216,愛知県 常滑市,58710
23217,愛知県 江南市,98255
23219,愛知県 小牧市,148831
23220,愛知県 稲沢市,134751
23221,愛知県 新城市,44355
23222,愛知県 東海市,113787
23223,愛知県 大府市,93123
23224,愛知県 知多市,84364
23225,愛知県 知立市,72193
23226,愛知県 尾張旭市,83144
23227,愛知県 高浜市,46106
23228,愛知県 岩倉市,47983
23229,愛知県 豊明市,69295
23230,愛知県 日進市,91520
23231,愛知県 田原市,59360
23232,愛知県 愛西市,60829
23233,愛知県 清須市,67352
23234,愛知県 北名古屋市,86385
23235,愛知県 弥富市,43025
23236,愛知県 みよし市,61952
23237,愛知県 あま市,86126
23238,愛知県 長久手市,60162
23302,愛知県 東郷町,43903
23342,愛知県 豊山町,15613
23361,愛知県 大口町,24305
23362,愛知県 扶桑町,34133
23424,愛知県 大治町,32399
23425,愛知県 蟹江町,37338
23427,愛知県 飛島村,4575
23441,愛知県 阿久比町,28383
23442,愛知県 東浦町,49596
23445,愛知県 南知多町,16617
23446,愛知県 美浜町,22496
23447,愛知県 武豊町,43535
23501,愛知県 幸田町,42449
23561,愛知県 設楽町,4437
23562,愛知県 東栄町,2942
23563,愛知県 豊根村,1017
24201,三重県 津市,274537
24202,三重県 四日市市,305424
24203,三重県 伊勢市,122765
24204,三重県 松阪市,159145
24205,三重県 桑名市,138613
24207,三重県 鈴鹿市,195670
24208,三重県 名張市,76387
24209,三重県 尾鷲市,16252
24210,三重県 亀山市,49835
24211,三重県 鳥羽市,17525
24212,三重県 熊野市,15965
24214,三重県 いなべ市,44973
24215,三重県 志摩市,46057
24216,三重県 伊賀市,88766
24303,三重県 木曽岬町,6023
24324,三重県 東員町,25784
24341,三重県 菰野町,40559
24343,三重県 朝日町,11021
24344,三重県 川越町,15123
24441,三重県 多気町,14021
24442,三重県 明和町,22445
24443,三重県 大台町,8668
24461,三重県 玉城町,15041
24470,三重県 度会町,7847
24471,三重県 大紀町,7815
24472,三重県 南伊勢町,10989
24543,三重県 紀北町,14604
24561,三重県 御浜町,8079
24562,三重県 紀宝町,10321
25201,滋賀県 大津市,345070
25202,滋賀県 彦根市,113647
25203,滋賀県 長浜市,113636
25204,滋賀県 近江八幡市,81122
25206,滋賀県 草津市,143913
25207,滋賀県 守山市,83236
25208,滋賀県 栗東市,68820
25209,滋賀県 甲賀市,88358
25210,滋賀県 野洲市,50513
25211,滋賀県 湖南市,54460
25212,滋賀県 高島市,46377
25213,滋賀県 東近江市,112819
25214,滋賀県 米原市,37225
25383,滋賀県 日野町,20964
25384,滋賀県 竜王町,11789
25425,滋賀県 愛荘町,20893
25441,滋賀県 豊郷町,7132
25442,滋賀県 甲良町,6362
25443,滋賀県 多賀町,7274
26100,京都府 京都市,1463723
26201,京都府 福知山市,77306
26202,京都府 舞鶴市,80336
26203,京都府 綾部市,31846
26204,京都府 宇治市,179630
26205,京都府 宮津市,16758
26206,京都府 亀岡市,86174
26207,京都府 城陽市,74607
26208,京都府 向日市,56859
26209,京都府 長岡京市,80608
26210,京都府 八幡市,70433
26211,京都府 京田辺市,73753
26212,京都府 京丹後市,50860
26213,京都府 南丹市,31629
26214,京都府 木津川市,77907
26303,京都府 大山崎町,15953
26322,京都府 久御山町,15250
26343,京都府 井手町,7406
26344,京都府 宇治田原町,8911
26364,京都府 笠置町,1144
26365,京都府 和束町,3478
26366,京都府 精華町,36198
26367,京都府 南山城村,2391
26407,京都府 京丹波町,12907
26463,京都府 伊根町,1928
26465,京都府 与謝野町,20092
27100,大阪府 大阪市,2752412
27140,大阪府 堺市,826161
27202,大阪府 岸和田市,190658
27203,大阪府 豊中市,401558
27204,大阪府 池田市,104993
27205,大阪府 吹田市,385567
27206,大阪府 泉大津市,74412
27207,大阪府 高槻市,352698
27208,大阪府 貝塚市,84443
27209,大阪府 守口市,143096
27210,大阪府 枚方市,397289
27211,大阪府 茨木市,287730
27212,大阪府 八尾市,264642
27213,大阪府 泉佐野市,100131
27214,大阪府 富田林市,108699
27215,大阪府 寝屋川市,229733
27216,大阪府 河内長野市,101692
27217,大阪府 松原市,117641
27218,大阪府 大東市,119367
27219,大阪府 和泉市,184495
27220,大阪府 箕面市,136868
27221,大阪府 柏原市,68775
27222,大阪府 羽曳野市,108736
27223,大阪府 門真市,119764
27224,大阪府 摂津市,87456
27225,大阪府 高石市,55635
27226,大阪府 藤井寺市,63688
27227,大阪府 東大阪市,493940
27228,大阪府 泉南市,60102
27229,大阪府 四條畷市,55177
27230,大阪府 交野市,75033
27231,大阪府 大阪狭山市,58435
27232,大阪府 阪南市,51254
27301,大阪府 島本町,30927
27321,大阪府 豊能町,18279
27322,大阪府 能勢町,9079
27341,大阪府 忠岡町,16567
27361,大阪府 熊取町,43763
27362,大阪府 田尻町,8434
27366,大阪府 岬町,14741
27381,大阪府 太子町,13009
27382,大阪府 河南町,15697
27383,大阪府 千早赤阪村,4909
28100,兵庫県 神戸市,1525152
28201,兵庫県 姫路市,530495
28202,兵庫県 尼崎市,459593
28203,兵庫県 明石市,303601
28204,兵庫県 西宮市,485587
28205,兵庫県 洲本市,41236
28206,兵庫県 芦屋市,93922
28207,兵庫県 伊丹市,198138
28208,兵庫県 相生市,28355
28209,兵庫県 豊岡市,77489
28210,兵庫県 加古川市,260878
28212,兵庫県 赤穂市,45892
28213,兵庫県 西脇市,38673
28214,兵庫県 宝塚市,226432
28215,兵庫県 三木市,75294
28216,兵庫県 高砂市,87722
28217,兵庫県 川西市,152321
28218,兵庫県 小野市,47562
28219,兵庫県 三田市,109238
28220,兵庫県 加西市,42700
28221,兵庫県 丹波篠山市,39611
28222,兵庫県 養父市,22129
28223,兵庫県 丹波市,61471
28224,兵庫県 南あわじ市,44137
28225,兵庫県 朝来市,28989
28226,兵庫県 淡路市,41967
28227,兵庫県 宍粟市,34819
28228,兵庫県 加東市,40645
28229,兵庫県 たつの市,74316
28301,兵庫県 猪名川町,29680
28365,兵庫県 多可町,19261
28381,兵庫県 稲美町,30268
28382,兵庫県 播磨町,33604
28442,兵庫県 市川町,11231
28443,兵庫県 福崎町,19377
28446,兵庫県 神河町,10616
28464,兵庫県 太子町,33477
28481,兵庫県 上郡町,13879
28501,兵庫県 佐用町,15863
28585,兵庫県 香美町,16064
28586,兵庫県 新温泉町,13318
29201,奈良県 奈良市,354630
29202,奈良県 大和高田市,61744
29203,奈良県 大和郡山市,83285
29204,奈良県 天理市,63889
29205,奈良県 橿原市,120922
29206,奈良県 桜井市,54857
29207,奈良県 五條市,27927
29208,奈良県 御所市,24096
29209,奈良県 生駒市,116675
29210,奈良県 香芝市,78113
29211,奈良県 葛城市,36832
29212,奈良県 宇陀市,28121
29322,奈良県 山添村,3226
29342,奈良県 平群町,18009
29343,奈良県 三郷町,23219
29344,奈良県 斑鳩町,27587
29345,奈良県 安堵町,7225
29361,奈良県 川西町,8167
29362,奈良県 三宅町,6439
29363,奈良県 田原本町,31177
29385,奈良県 曽爾村,1295
29386,奈良県 御杖村,1479
29401,奈良県 高取町,6729
29402,奈良県 明日香村,5179
29424,奈良県 上牧町,21714
29425,奈良県 王寺町,24043
29426,奈良県 広陵町,33810
29427,奈良県 河合町,17018
29441,奈良県 吉野町,6229
29442,奈良県 大淀町,16728
29443,奈良県 下市町,5037
29444,奈良県 黒滝村,623
29446,奈良県 天川村,1176
29447,奈良県 野迫川村,357
29449,奈良県 十津川村,3061
29450,奈良県 下北山村,753
29451,奈良県 上北山村,444
29452,奈良県 川上村,1156
29453,奈良県 東吉野村,1502
30201,和歌山県 和歌山市,356729
30202,和歌山県 海南市,48369
30203,和歌山県 橋本市,60818
30204,和歌山県 有田市,26538
30205,和歌山県 御坊市,23481
30206,和歌山県 田辺市,69870
30207,和歌山県 新宮市,27171
30208,和歌山県 紀の川市,58816
30209,和歌山県 岩出市,53967
30304,和歌山県 紀美野町,8256
30341,和歌山県 かつらぎ町,15967
30343,和歌山県 九度山町,3856
30344,和歌山県 高野町,2970
30361,和歌山県 湯浅町,11122
30362,和歌山県 広川町,6781
30366,和歌山県 有田川町,25258
30381,和歌山県 美浜町,6867
30382,和歌山県 日高町,7673
30383,和歌山県 由良町,5364
30390,和歌山県 印南町,7720
30391,和歌山県 みなべ町,11818
30392,和歌山県 日高川町,9219
30401,和歌山県 白浜町,20262
30404,和歌山県 上富田町,15236
30406,和歌山県 すさみ町,3685
30421,和歌山県 那智勝浦町,14137
30422,和歌山県 太地町,2791
30424,和歌山県 古座川町,2480
30427,和歌山県 北山村,404
30428,和歌山県 串本町,14959
31201,鳥取県 鳥取市,188465
31202,鳥取県 米子市,147317
31203,鳥取県 倉吉市,46485
31204,鳥取県 境港市,32740
31302,鳥取県 岩美町,10799
31325,鳥取県 若桜町,2864
31328,鳥取県 智頭町,6427
31329,鳥取県 八頭町,15937
31364,鳥取県 三朝町,6060
31370,鳥取県 湯梨浜町,16055
31371,鳥取県 琴浦町,16365
31372,鳥取県 北栄町,14228
31384,鳥取県 日吉津村,3501
31386,鳥取県 大山町,15370
31389,鳥取県 南部町,10323
31390,鳥取県 伯耆町,10696
31401,鳥取県 日南町,4196
31402,鳥取県 日野町,2907
31403,鳥取県 江府町,2672
32201,島根県 松江市,203616
32202,島根県 浜田市,54592
32203,島根県 出雲市,172775
32204,島根県 益田市,45003
32205,島根県 大田市,32846
32206,島根県 安来市,37062
32207,島根県 江津市,22959
32209,島根県 雲南市,36007
32343,島根県 奥出雲町,11849
32386,島根県 飯南町,4577
32441,島根県 川本町,3248
32448,島根県 美郷町,4355
32449,島根県 邑南町,10163
32501,島根県 津和野町,6875
32505,島根県 吉賀町,6077
32525,島根県 海士町,2267
32526,島根県 西ノ島町,2788
32527,島根県 知夫村,634
32528,島根県 隠岐の島町,13433
33100,岡山県 岡山市,724691
33202,岡山県 倉敷市,474592
33203,岡山県 津山市,99937
33204,岡山県 玉野市,56531
33205,岡山県 笠岡市,46088
33207,岡山県 井原市,38384
33208,岡山県 総社市,69030
33209,岡山県 高梁市,29072
33210,岡山県 新見市,28079
33211,岡山県 備前市,32320
33212,岡山県 瀬戸内市,36048
33213,岡山県 赤磐市,42661
33214,岡山県 真庭市,42725
33215,岡山県 美作市,25939
33216,岡山県 浅口市,32772
33346,岡山県 和気町,13623
33423,岡山県 早島町,12368
33445,岡山県 里庄町,10950
33461,岡山県 矢掛町,13414
33586,岡山県 新庄村,813
33606,岡山県 鏡野町,12062
33622,岡山県 勝央町,10888
33623,岡山県 奈義町,5578
33643,岡山県 西粟倉村,1398
33663,岡山県 久米南町,4530
33666,岡山県 美咲町,13053
33681,岡山県 吉備中央町,10886
34100,広島県 広島市,1200754
34202,広島県 呉市,214592
34203,広島県 竹原市,23993
34204,広島県 三原市,90573
34205,広島県 尾道市,131170
34207,広島県 福山市,460930
34208,広島県 府中市,37655
34209,広島県 三次市,50681
34210,広島県 庄原市,33633
34211,広島県 大竹市,26319
34212,広島県 東広島市,196608
34213,広島県 廿日市市,114173
34214,広島県 安芸高田市,26448
34215,広島県 江田島市,21930
34302,広島県 府中町,51155
34304,広島県 海田町,29636
34307,広島県 熊野町,22834
34309,広島県 坂町,12582
34368,広島県 安芸太田町,5740
34369,広島県 北広島町,17763
34431,広島県 大崎上島町,7158
34462,広島県 世羅町,15125
34545,広島県 神石高原町,8250
35201,山口県 下関市,255051
35202,山口県 宇部市,162570
35203,山口県 山口市,193966
35204,山口県 萩市,44626
35206,山口県 防府市,113979
35207,山口県 下松市,55887
35208,山口県 岩国市,129125
35210,山口県 光市,49798
35211,山口県 長門市,32519
35212,山口県 柳井市,30799
35213,山口県 美祢市,23247
35215,山口県 周南市,137540
35216,山口県 山陽小野田市,60326
35305,山口県 周防大島町,14798
35321,山口県 和木町,6034
35341,山口県 上関町,2342
35343,山口県 田布施町,14483
35344,山口県 平生町,11914
35502,山口県 阿武町,3055
36201,徳島県 徳島市,252391
36202,徳島県 鳴門市,54622
36203,徳島県 小松島市,36149
36204,徳島県 阿南市,69470
36205,徳島県 吉野川市,38772
36206,徳島県 阿波市,34713
36207,徳島県 美馬市,28055
36208,徳島県 三好市,23605
36301,徳島県 勝浦町,4837
36302,徳島県 上勝町,1380
36321,徳島県 佐那河内村,2058
36341,徳島県 石井町,24833
36342,徳島県 神山町,4647
36368,徳島県 那賀町,7367
36383,徳島県 牟岐町,3743
36387,徳島県 美波町,6222
36388,徳島県 海陽町,8358
36401,徳島県 松茂町,14583
36402,徳島県 北島町,22745
36403,徳島県 藍住町,35246
36404,徳島県 板野町,13042
36405,徳島県 上板町,11384
36468,徳島県 つるぎ町,7715
36489,徳島県 東みよし町,13622
37201,香川県 高松市,417496
37202,香川県 丸亀市,109513
37203,香川県 坂出市,50624
37204,香川県 善通寺市,31631
37205,香川県 観音寺市,57438
37206,香川県 さぬき市,47003
37207,香川県 東かがわ市,28279
37208,香川県 三豊市,61857
37322,香川県 土庄町,12846
37324,香川県 小豆島町,13870
37341,香川県 三木町,26878
37364,香川県 直島町,3103
37386,香川県 宇多津町,18699
37387,香川県 綾川町,22693
37403,香川県 琴平町,8468
37404,香川県 多度津町,22445
37406,香川県 まんのう町,17401
38201,愛媛県 松山市,511192
38202,愛媛県 今治市,151672
38203,愛媛県 宇和島市,70809
38204,愛媛県 八幡浜市,31987
38205,愛媛県 新居浜市,115938
38206,愛媛県 西条市,104791
38207,愛媛県 大洲市,40575
38210,愛媛県 伊予市,35133
38213,愛媛県 四国中央市,82754
38214,愛媛県 西予市,35388
38215,愛媛県 東温市,33903
38356,愛媛県 上島町,6509
38386,愛媛県 久万高原町,7404
38401,愛媛県 松前町,29630
38402,愛媛県 砥部町,20480
38422,愛媛県 内子町,15322
38442,愛媛県 伊方町,8397
38484,愛媛県 松野町,3674
38488,愛媛県 鬼北町,9682
38506,愛媛県 愛南町,19601
39201,高知県 高知市,326545
39202,高知県 室戸市,11742
39203,高知県 安芸市,16243
39204,高知県 南国市,46664
39205,高知県 土佐市,25732
39206,高知県 須崎市,20590
39208,高知県 宿毛市,19033
39209,高知県 土佐清水市,12388
39210,高知県 四万十市,32694
39211,高知県 香南市,32207
39212,高知県 香美市,26513
39301,高知県 東洋町,2194
39302,高知県 奈半利町,3034
39303,高知県 田野町,2498
39304,高知県 安田町,2370
39305,高知県 北川村,1146
39306,高知県 馬路村,745
39307,高知県 芸西村,3694
39341,高知県 本山町,3261
39344,高知県 大豊町,3252
39363,高知県 土佐町,3753
39364,高知県 大川村,366
39386,高知県 いの町,21374
39387,高知県 仁淀川町,4827
39401,高知県 中土佐町,6002
39402,高知県 佐川町,12323
39403,高知県 越知町,5187
39405,高知県 檮原町,3307
39410,高知県 日高村,4812
39411,高知県 津野町,5291
39412,高知県 四万十町,15607
39424,高知県 大月町,4434
39427,高知県 三原村,1437
39428,高知県 黒潮町,10262
40100,福岡県 北九州市,939029
40130,福岡県 福岡市,1612392
40202,福岡県 大牟田市,111281
40203,福岡県 久留米市,303316
40204,福岡県 直方市,56212
40205,福岡県 飯塚市,126364
40206,福岡県 田川市,46203
40207,福岡県 柳川市,64475
40210,福岡県 八女市,60608
40211,福岡県 筑後市,48827
40212,福岡県 大川市,32988
40213,福岡県 行橋市,71426
40214,福岡県 豊前市,24391
40215,福岡県 中間市,40362
40216,福岡県 小郡市,59360
40217,福岡県 筑紫野市,103311
40218,福岡県 春日市,111023
40219,福岡県 大野城市,102085
40220,福岡県 宗像市,97095
40221,福岡県 太宰府市,73164
40223,福岡県 古賀市,58786
40224,福岡県 福津市,67033
40225,福岡県 うきは市,27981
40226,福岡県 宮若市,26298
40227,福岡県 嘉麻市,35473
40228,福岡県 朝倉市,50273
40229,福岡県 みやま市,35861
40230,福岡県 糸島市,98877
40231,福岡県 那珂川市,50112
40341,福岡県 宇美町,37671
40342,福岡県 篠栗町,31209
40343,福岡県 志免町,46377
40344,福岡県 須恵町,28628
40345,福岡県 新宮町,32927
40348,福岡県 久山町,9068
40349,福岡県 粕屋町,48190
40381,福岡県 芦屋町,13545
40382,福岡県 水巻町,28114
40383,福岡県 岡垣町,31007
40384,福岡県 遠賀町,18723
40401,福岡県 小竹町,7151
40402,福岡県 鞍手町,15080
40421,福岡県 桂川町,12878
40447,福岡県 筑前町,29591
40448,福岡県 東峰村,1899
40503,福岡県 大刀洗町,15521
40522,福岡県 大木町,13820
40544,福岡県 広川町,19969
40601,福岡県 香春町,10191
40602,福岡県 添田町,8801
40604,福岡県 糸田町,8407
40605,福岡県 川崎町,15176
40608,福岡県 大任町,5008
40609,福岡県 赤村,2774
40610,福岡県 福智町,21398
40621,福岡県 苅田町,37684
40625,福岡県 みやこ町,18825
40642,福岡県 吉富町,6536
40646,福岡県 上毛町,7251
40647,福岡県 築上町,17189
41201,佐賀県 佐賀市,233301
41202,佐賀県 唐津市,117373
41203,佐賀県 鳥栖市,74196
41204,佐賀県 多久市,18295
41205,佐賀県 伊万里市,52629
41206,佐賀県 武雄市,47914
41207,佐賀県 鹿島市,27892
41208,佐賀県 小城市,43952
41209,佐賀県 嬉野市,25848
41210,佐賀県 神埼市,31022
41327,佐賀県 吉野ヶ里町,16323
41341,佐賀県 基山町,17250
41345,佐賀県 上峰町,9286
41346,佐賀県 みやき町,25511
41387,佐賀県 玄海町,5609
41401,佐賀県 有田町,19010
41423,佐賀県 大町町,6293
41424,佐賀県 江北町,9566
41425,佐賀県 白石町,22051
41441,佐賀県 太良町,8121
42201,長崎県 長崎市,409118
42202,長崎県 佐世保市,243223
42203,長崎県 島原市,43338
42204,長崎県 諫早市,133852
42205,長崎県 大村市,95397
42207,長崎県 平戸市,29365
42208,長崎県 松浦市,21271
42209,長崎県 対馬市,28502
42210,長崎県 壱岐市,24948
42211,長崎県 五島市,34391
42212,長崎県 西海市,26275
42213,長崎県 雲仙市,41096
42214,長崎県 南島原市,42330
42307,長崎県 長与町,40780
42308,長崎県 時津町,29339
42321,長崎県 東彼杵町,7721
42322,長崎県 川棚町,13377
42323,長崎県 波佐見町,14291
42383,長崎県 小値賀町,2288
42391,長崎県 佐々町,13912
42411,長崎県 新上五島町,17503
43100,熊本県 熊本市,738865
43202,熊本県 八代市,123067
43203,熊本県 人吉市,31108
43204,熊本県 荒尾市,50832
43205,熊本県 水俣市,23557
43206,熊本県 玉名市,64292
43208,熊本県 山鹿市,49025
43210,熊本県 菊池市,46416
43211,熊本県 宇土市,36122
43212,熊本県 上天草市,24563
43213,熊本県 宇城市,57032
43214,熊本県 阿蘇市,24930
43215,熊本県 天草市,75783
43216,熊本県 合志市,61772
43348,熊本県 美里町,9392
43364,熊本県 玉東町,5045
43367,熊本県 南関町,8979
43368,熊本県 長洲町,15372
43369,熊本県 和水町,9342
43403,熊本県 大津町,35187
43404,熊本県 菊陽町,43337
43423,熊本県 南小国町,3750
43424,熊本県 小国町,6590
43425,熊本県 産山村,1382
43428,熊本県 高森町,5789
43432,熊本県 西原村,6426
43433,熊本県 南阿蘇村,9836
43441,熊本県 御船町,16303
43442,熊本県 嘉島町,9547
43443,熊本県 益城町,32510
43444,熊本県 甲佐町,10132
43447,熊本県 山都町,13503
43468,熊本県 氷川町,11094
43482,熊本県 芦北町,15681
43484,熊本県 津奈木町,4254
43501,熊本県 錦町,10288
43505,熊本県 多良木町,9076
43506,熊本県 湯前町,3627
43507,熊本県 水上村,2033
43510,熊本県 相良村,4070
43511,熊本県 五木村,931
43512,熊本県 山江村,3238
43513,熊本県 球磨村,2433
43514,熊本県 あさぎり町,14676
43531,熊本県 苓北町,7114
44201,大分県 大分市,475614
44202,大分県 別府市,115321
44203,大分県 中津市,82863
44204,大分県 日田市,62657
44205,大分県 佐伯市,66851
44206,大分県 臼杵市,36158
44207,大分県 津久見市,16100
44208,大分県 竹田市,20332
44209,大分県 豊後高田市,22112
44210,大分県 杵築市,27999
44211,大分県 宇佐市,52771
44212,大分県 豊後大野市,33695
44213,大分県 由布市,32772
44214,大分県 国東市,26232
44322,大分県 姫島村,1725
44341,大分県 日出町,27723
44461,大分県 九重町,8541
44462,大分県 玖珠町,14386
45201,宮崎県 宮崎市,401339
45202,宮崎県 都城市,160640
45203,宮崎県 延岡市,118394
45204,宮崎県 日南市,50848
45205,宮崎県 小林市,43670
45206,宮崎県 日向市,59629
45207,宮崎県 串間市,16822
45208,宮崎県 西都市,28610
45209,宮崎県 えびの市,17638
45341,宮崎県 三股町,25591
45361,宮崎県 高原町,8639
45382,宮崎県 国富町,18398
45383,宮崎県 綾町,6934
45401,宮崎県 高鍋町,19922
45402,宮崎県 新富町,16564
45403,宮崎県 西米良村,1000
45404,宮崎県 木城町,4895
45405,宮崎県 川南町,15194
45406,宮崎県 都農町,9906
45421,宮崎県 門川町,17379
45429,宮崎県 諸塚村,1486
45430,宮崎県 椎葉村,2503
45431,宮崎県 美郷町,4826
45441,宮崎県 高千穂町,11642
45442,宮崎県 日之影町,3635
45443,宮崎県 五ヶ瀬町,3472
46201,鹿児島県 鹿児島市,593128
46203,鹿児島県 鹿屋市,101096
46204,鹿児島県 枕崎市,20033
46206,鹿児島県 阿久根市,19270
46208,鹿児島県 出水市,51994
46210,鹿児島県 指宿市,39011
46213,鹿児島県 西之表市,14708
46214,鹿児島県 垂水市,13819
46215,鹿児島県 薩摩川内市,92403
46216,鹿児島県 日置市,47153
46217,鹿児島県 曽於市,33310
46218,鹿児島県 霧島市,123135
46219,鹿児島県 いちき串木野市,27490
46220,鹿児島県 南さつま市,32887
46221,鹿児島県 志布志市,29329
46222,鹿児島県 奄美市,41390
46223,鹿児島県 南九州市,33080
46224,鹿児島県 伊佐市,24453
46225,鹿児島県 姶良市,76348
46303,鹿児島県 三島村,405
46304,鹿児島県 十島村,740
46392,鹿児島県 さつま町,20243
46404,鹿児島県 長島町,9705
46452,鹿児島県 湧水町,9119
46468,鹿児島県 大崎町,12385
46482,鹿児島県 東串良町,6237
46490,鹿児島県 錦江町,6944
46491,鹿児島県 南大隅町,6481
46492,鹿児島県 肝付町,14227
46501,鹿児島県 中種子町,7539
46502,鹿児島県 南種子町,5445
46505,鹿児島県 屋久島町,11858
46523,鹿児島県 大和村,1364
46524,鹿児島県 宇検村,1621
46525,鹿児島県 瀬戸内町,8546
46527,鹿児島県 龍郷町,5817
46529,鹿児島県 喜界町,6629
46530,鹿児島県 徳之島町,10147
46531,鹿児島県 天城町,5517
46532,鹿児島県 伊仙町,6139
46533,鹿児島県 和泊町,6246
46534,鹿児島県 知名町,5750
46535,鹿児島県 与論町,5115
47201,沖縄県 那覇市,317625
47205,沖縄県 宜野湾市,100125
47207,沖縄県 石垣市,47637
47208,沖縄県 浦添市,115690
47209,沖縄県 名護市,63554
47210,沖縄県 糸満市,61007
47211,沖縄県 沖縄市,142752
47212,沖縄県 豊見城市,64612
47213,沖縄県 うるま市,125303
47214,沖縄県 宮古島市,52931
47215,沖縄県 南城市,44043
47301,沖縄県 国頭村,4517
47302,沖縄県 大宜味村,3092
47303,沖縄県 東村,1598
47306,沖縄県 今帰仁村,8894
47308,沖縄県 本部町,12530
47311,沖縄県 恩納村,10869
47313,沖縄県 宜野座村,5833
47314,沖縄県 金武町,10806
47315,沖縄県 伊江村,4118
47324,沖縄県 読谷村,41206
47325,沖縄県 嘉手納町,13521
47326,沖縄県 北谷町,28201
47327,沖縄県 北中城村,17969
47328,沖縄県 中城村,22157
47329,沖縄県 西原町,34984
47348,沖縄県 与那原町,19695
47350,沖縄県 南風原町,40440
47353,沖縄県 渡嘉敷村,718
47354,沖縄県 座間味村,892
47355,沖縄県 粟国村,683
47356,沖縄県 渡名喜村,346
47357,沖縄県 南大東村,1285
47358,沖縄県 北大東村,590
47359,沖縄県 伊平屋村,1126
47360,沖縄県 伊是名村,1322
47361,沖縄県 久米島町,7192
47362,沖縄県 八重瀬町,30941
47375,沖縄県 多良間村,1058
47381,沖縄県 竹富町,3942
47382,沖縄県 与那国町,1676
